Type of property,Subtype of property,Price,State of the building,Surface of the plot,Surface of the land,Area,Number of rooms,Furnished,Fully equipped kitchen,Number of facades,Garden,Garden surface,Open fire,Terrace,Terrace surface,Investment property
House,House,289000,To be done up,257,107,,4,0,0,2,1,140,0,1,10,0
House,House,314000,As new,211,78,135,4,0,0,3,1,125,0,1,8,0
House,House,353000,Good,141,129,130,3,0,0,3,0,,0,1,12,0
House,House,355000,Good,198,108,116,2,0,1,3,1,90,0,0,,0
House,House,364500,As new,202,142,156,4,0,0,2,1,45,0,1,15,0
House,House,399000,To renovate,1501,201,210,3,0,0,3,1,1300,0,0,,
House,House,415000,As new,42,30,126,2,0,0,2,0,,0,1,12,0
House,House,419000,As new,525,525,145,4,0,1,3,0,,0,0,,0
House,Exceptional property,435000,Just renovated,206,112,327,6,0,1,2,1,85,0,1,9,0
House,Mixed-use building,470000,,180,76,166,,0,1,3,1,82,0,1,22,1
House,House,475000,Just renovated,175,175,300,3,0,1,2,0,,0,0,,
House,House,495000,As new,240,109,175,3,0,0,3,1,125,0,1,6,0
House,Mixed-use building,545000,Good,200,152,300,4,0,0,2,1,40,0,1,8,1
House,House,565000,Just renovated,380,378,,5,0,1,3,1,1,0,1,1,0
House,Villa,625000,As new,644,644,310,4,0,0,4,0,,1,0,,0
House,House,625000,As new,405,51,210,3,0,1,3,1,294,0,1,60,0
House,House,659000,As new,257,115,220,4,0,1,2,1,132,1,1,10,0
House,House,790000,As new,10,-10,282,2,0,0,2,0,,0,1,20,0
House,Mixed-use building,850000,To be done up,552,427,,7,0,0,2,1,125,0,0,,1
House,Exceptional property,2300000,As new,200,200,400,3,0,1,2,0,,0,0,,0
House,House,429000,To be done up,285,285,220,4,0,0,2,0,,0,0,,0
House,Mixed-use building,427000,Good,252,252,400,3,0,0,2,0,,0,0,,1
House,House,549000,Good,750,714,275,4,0,0,4,0,,1,1,36,0
House,House,40000512,,515,515,199,3,0,0,4,0,,1,0,,0
House,Town-house,369000,As new,145,85,157,3,0,0,2,1,60,0,0,,0
House,House,310000,To be done up,595,395,125,3,0,0,4,1,200,0,0,,0
House,House,,Good,665,665,175,3,0,0,4,0,,0,0,,0
House,House,239000,To renovate,187,187,165,3,0,0,,0,,0,0,,0
House,House,555000,Good,489,80,220,4,0,0,,1,371,0,1,38,0
House,Mansion,580000,Good,102,69,249,4,0,0,2,1,33,1,0,,0
House,House,689000,As new,1000,-44,215,3,0,1,4,1,1000,1,1,44,0
House,Villa,695000,,864,819,300,4,0,1,4,1,,0,1,45,0
,,,,,,,,0,0,,0,,0,0,,
